epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,6466.66,0.57236,0.52087,0.91561,0.27697,0.19612,0.17769,0.1305,1.21823,4.3404,1.42714,0.000159786,0.000159786,0.000159786
91,6479.14,0.55276,0.48448,0.89935,0.34314,0.20441,0.17173,0.12919,1.20806,4.77299,1.40134,0.000158065,0.000158065,0.000158065
92,6491.47,0.55172,0.47328,0.91093,0.28259,0.17326,0.16924,0.12592,1.19809,4.83337,1.41148,0.000156344,0.000156344,0.000156344
93,6503.92,0.53439,0.45046,0.89052,0.26649,0.19409,0.17725,0.13195,1.2235,4.5917,1.45813,0.000154622,0.000154622,0.000154622
94,6516.45,0.5494,0.48132,0.8908,0.2988,0.20777,0.1828,0.13575,1.21008,4.7119,1.42643,0.0001529,0.0001529,0.0001529
95,6528.87,0.5488,0.49981,0.91556,0.30835,0.2595,0.18077,0.13811,1.20615,4.64667,1.43982,0.000151179,0.000151179,0.000151179
96,6541.33,0.53977,0.4637,0.89925,0.32522,0.30113,0.19994,0.15009,1.20188,4.29678,1.46382,0.000149458,0.000149458,0.000149458
97,6553.64,0.55114,0.46295,0.90447,0.33334,0.22245,0.18776,0.14225,1.20042,4.47748,1.423,0.000147736,0.000147736,0.000147736
98,6566.09,0.55505,0.47326,0.90562,0.35614,0.1997,0.19091,0.14192,1.2091,4.66732,1.42699,0.000146015,0.000146015,0.000146015
99,6578.57,0.53525,0.45429,0.8997,0.23937,0.22519,0.20475,0.15356,1.20827,4.52289,1.4207,0.000144293,0.000144293,0.000144293
100,6591.16,0.52612,0.45408,0.90243,0.29131,0.19636,0.17786,0.13414,1.20919,4.59159,1.4312,0.000142572,0.000142572,0.000142572
101,6603.65,0.51093,0.42373,0.88895,0.21973,0.2143,0.17384,0.12915,1.20373,4.48224,1.42595,0.00014085,0.00014085,0.00014085
